RawTimestamp,LocalTime,HR_Direct,HR_Buffered,PPG,GSR,Temperature
1743439193328,12:39:53.328,-1,-1,0,0.653790653790654,33.9164177522762
1743439193347,12:39:53.347,-1,-1,0,0.650682650682651,33.9164177522762
1743439193367,12:39:53.367,-1,-1,0,0.646686646686647,33.9164177522762
1743439193386,12:39:53.386,-1,-1,0,0.647130647130647,33.9164177522762
1743439193406,12:39:53.406,-1,-1,0,0.65023865023865,33.9164177522762
1743439193425,12:39:53.425,-1,-1,0,0.653346653346653,33.9164177522762
1743439193445,12:39:53.445,-1,-1,0,0.652458652458652,33.9164177522762
1743439193464,12:39:53.464,-1,-1,259.340659340659,0.648906648906649,33.9164177522762
1743439193484,12:39:53.484,-1,-1,619.78021978022,0.645354645354645,33.9164177522762
1743439193503,12:39:53.503,-1,-1,884.981684981685,0.646242646242646,33.9164177522762
1743439193523,12:39:53.523,-1,-1,1043.95604395604,0.649350649350649,33.9164177522762
1743439193542,12:39:53.542,-1,-1,1139.92673992674,0.652458652458652,33.9164177522762
1743439193562,12:39:53.562,-1,-1,1191.20879120879,0.651126651126651,33.9164177522762
1743439193581,12:39:53.581,-1,-1,1206.59340659341,0.646686646686647,33.9164177522762
1743439193601,12:39:53.601,-1,-1,1202.9304029304,0.644022644022644,33.9164177522762
1743439193620,12:39:53.620,-1,-1,1191.94139194139,0.644466644466644,33.9164177522762
1743439193640,12:39:53.640,-1,-1,1189.74358974359,0.648462648462648,33.9164177522762
1743439193659,12:39:53.659,-1,-1,1186.81318681319,0.650682650682651,33.9164177522762
1743439193679,12:39:53.679,-1,-1,1183.88278388278,0.649350649350649,33.9164177522762
1743439193698,12:39:53.698,-1,-1,1175.82417582418,0.644910644910645,33.9164177522762
1743439193718,12:39:53.718,-1,-1,1173.62637362637,0.642690642690643,33.9164177522762
1743439193737,12:39:53.737,-1,-1,1176.55677655678,0.643578643578643,33.9164177522762
1743439193757,12:39:53.757,-1,-1,1178.75457875458,0.647574647574647,33.9164177522762
1743439193776,12:39:53.776,-1,-1,1171.42857142857,0.649350649350649,33.9164177522762
1743439193796,12:39:53.796,-1,-1,1158.24175824176,0.647574647574647,33.9164177522762
1743439193815,12:39:53.815,-1,-1,1175.09157509158,0.643134643134643,33.9164177522762
1743439193835,12:39:53.835,-1,-1,1221.24542124542,0.640914640914641,33.9114149808884
1743439193854,12:39:53.854,-1,-1,1282.78388278388,0.642246642246642,33.9114149808884
1743439193874,12:39:53.874,-1,-1,1351.64835164835,0.646242646242646,33.9114149808884
1743439193893,12:39:53.893,-1,-1,1399.2673992674,0.647574647574647,33.9114149808884
1743439193913,12:39:53.913,-1,-1,1428.57142857143,0.645798645798646,33.9114149808884
1743439193932,12:39:53.932,-1,-1,1457.14285714286,0.640914640914641,33.9114149808884
1743439193952,12:39:53.952,-1,-1,1484.98168498168,0.63958263958264,33.9114149808884
1743439193971,12:39:53.971,-1,-1,1504.0293040293,0.640914640914641,33.9114149808884
1743439193991,12:39:53.991,-1,-1,1517.94871794872,0.645354645354645,33.9114149808884
1743439194010,12:39:54.010,-1,-1,1531.13553113553,0.646242646242646,33.9114149808884
1743439194030,12:39:54.030,-1,-1,1537.72893772894,0.644466644466644,33.9114149808884
1743439194049,12:39:54.049,-1,-1,1531.13553113553,0.63958263958264,33.9114149808884
1743439194069,12:39:54.069,-1,-1,1498.9010989011,0.638250638250638,33.9114149808884
1743439194088,12:39:54.088,-1,-1,1472.52747252747,0.64002664002664,33.9114149808884
1743439194108,12:39:54.108,-1,-1,1460.80586080586,0.644466644466644,33.9114149808884
1743439194127,12:39:54.127,-1,-1,1452.74725274725,0.644910644910645,33.9114149808884
1743439194147,12:39:54.147,-1,-1,1449.08424908425,0.642690642690643,33.9114149808884
1743439194166,12:39:54.166,-1,-1,1443.22344322344,0.637806637806638,33.9114149808884
1743439194186,12:39:54.186,-1,-1,1430.76923076923,0.637362637362637,33.9114149808884
1743439194205,12:39:54.205,-1,-1,1413.18681318681,0.63958263958264,33.9114149808884
1743439194225,12:39:54.225,-1,-1,1407.32600732601,0.643578643578643,33.9114149808884
1743439194244,12:39:54.244,-1,-1,1396.336996337,0.643578643578643,33.9114149808884
1743439194264,12:39:54.264,-1,-1,1383.88278388278,0.640914640914641,33.9114149808884
1743439194283,12:39:54.283,-1,-1,1367.03296703297,0.636474636474636,33.9114149808884
1743439194303,12:39:54.303,-1,-1,1365.56776556777,0.636474636474636,33.9114149808884
1743439194322,12:39:54.322,-1,-1,1361.17216117216,0.639138639138639,33.9114149808884
1743439194342,12:39:54.342,-1,-1,1345.05494505494,0.643134643134643,33.9114149808884
1743439194361,12:39:54.361,-1,-1,1334.79853479853,0.642690642690643,33.9114149808884
1743439194381,12:39:54.381,-1,-1,1326.73992673993,0.63958263958264,33.9114149808884
1743439194400,12:39:54.400,-1,-1,1312.82051282051,0.635586635586636,33.9114149808884
1743439194420,12:39:54.420,-1,-1,1306.95970695971,0.635586635586636,33.9114149808884
1743439194439,12:39:54.439,-1,-1,1299.6336996337,0.638250638250638,33.9114149808884
1743439194459,12:39:54.459,-1,-1,1299.6336996337,0.641358641358641,33.9114149808884
1743439194478,12:39:54.478,-1,-1,1301.0989010989,0.64047064047064,33.9114149808884
