RawTimestamp,LocalTime,HR_Original,PPG,GSR,Temperature
1.74329E+12,14:48.0,-1,0,4.151648352,26.46084282
1.74329E+12,14:48.1,-1,0,4.151648352,26.46084282
1.74329E+12,14:48.1,-1,0,1.949957174,26.46084282
1.74329E+12,14:48.1,-1,0,1.949957174,26.46084282
1.74329E+12,14:48.1,-1,0,1.949957174,26.46084282
1.74329E+12,14:48.1,-1,0,1.949957174,26.46084282
1.74329E+12,14:48.2,-1,0,1.949957174,26.46084282
1.74329E+12,14:48.2,-1,0,1.917014461,26.46084282
1.74329E+12,14:48.2,-1,0,1.917014461,26.46084282
1.74329E+12,14:48.2,-1,0,1.917014461,26.46084282
1.74329E+12,14:48.2,-1,0,1.917014461,26.46084282
1.74329E+12,14:48.3,-1,0,1.917014461,26.46084282
1.74329E+12,14:48.3,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.3,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.3,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.3,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.4,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.4,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.4,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.4,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.4,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.5,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.5,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.5,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.5,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.5,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.6,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.6,-1,0,1.92014652,26.46084282
1.74329E+12,14:48.6,-1,0,1.92014652,26.46084282
1.74329E+12,14:48.6,-1,0,1.921611722,26.46084282
1.74329E+12,14:48.6,-1,0,1.92014652,26.46084282
1.74329E+12,14:48.6,-1,0,1.92014652,26.46084282
1.74329E+12,14:48.7,-1,104.7619048,1.92014652,26.46084282
1.74329E+12,14:48.7,-1,398.5347985,1.92014652,26.46084282
1.74329E+12,14:48.7,-1,647.6190476,1.92014652,26.46084282
1.74329E+12,14:48.7,-1,818.3150183,1.92014652,26.46084282
1.74329E+12,14:48.7,-1,921.6117216,1.918681319,26.46084282
1.74329E+12,14:48.8,-1,1005.128205,1.92014652,26.46084282
1.74329E+12,14:48.8,-1,1122.344322,1.92014652,26.46084282
1.74329E+12,14:48.8,-1,1264.468864,1.92014652,26.46084282
1.74329E+12,14:48.8,-1,1401.465201,1.92014652,26.46084282
1.74329E+12,14:48.8,-1,1517.948718,1.92014652,26.46084282
1.74329E+12,14:48.9,-1,1601.465201,1.918681319,26.46084282
1.74329E+12,14:48.9,-1,1641.025641,1.918681319,26.46084282
1.74329E+12,14:48.9,-1,1646.886447,1.918681319,26.46084282
1.74329E+12,14:48.9,-1,1657.142857,1.92014652,26.46084282
1.74329E+12,14:48.9,-1,1645.421245,1.918681319,26.46084282
1.74329E+12,14:49.0,-1,1624.175824,1.918681319,35.41698636
1.74329E+12,14:49.0,-1,1591.208791,1.918681319,35.41698636
1.74329E+12,14:49.0,-1,1530.40293,1.918681319,35.41698636
1.74329E+12,14:49.0,-1,1476.923077,1.918681319,35.41698636
1.74329E+12,14:49.0,-1,1421.245421,1.917216117,35.41698636
1.74329E+12,14:49.1,-1,1374.358974,1.917216117,35.41698636
1.74329E+12,14:49.1,-1,1333.333333,1.917216117,35.41698636
1.74329E+12,14:49.1,-1,1306.959707,1.917216117,35.41698636
1.74329E+12,14:49.1,-1,1305.494505,1.917216117,35.41698636
1.74329E+12,14:49.1,-1,1309.157509,1.917216117,35.41698636
1.74329E+12,14:49.2,-1,1287.912088,1.917216117,35.41698636
1.74329E+12,14:49.2,-1,1265.201465,1.917216117,35.41698636
1.74329E+12,14:49.2,-1,1246.886447,1.915750916,35.41698636
1.74329E+12,14:49.2,-1,1249.81685,1.915750916,35.41698636
1.74329E+12,14:49.2,-1,1254.945055,1.915750916,35.41698636
1.74329E+12,14:49.3,-1,1235.897436,1.915750916,35.41698636
1.74329E+12,14:49.3,-1,1189.010989,1.915750916,35.41698636
1.74329E+12,14:49.3,-1,1158.974359,1.915750916,35.41698636
1.74329E+12,14:49.3,-1,1134.065934,1.915750916,35.41698636
1.74329E+12,14:49.3,-1,1123.809524,1.915750916,35.41698636
1.74329E+12,14:49.3,-1,1122.344322,1.915750916,35.41698636
1.74329E+12,14:49.4,-1,1115.750916,1.915750916,35.41698636
1.74329E+12,14:49.4,-1,1104.761905,1.915750916,35.41698636
1.74329E+12,14:49.4,-1,1095.238095,1.915750916,35.41698636
1.74329E+12,14:49.4,-1,1087.912088,1.915750916,35.41698636
1.74329E+12,14:49.4,-1,1071.062271,1.915750916,35.41698636
1.74329E+12,14:49.5,-1,1065.934066,1.915750916,35.41698636
1.74329E+12,14:49.5,-1,1056.410256,1.914285714,35.41698636
1.74329E+12,14:49.5,-1,1060.805861,1.915750916,35.41698636
1.74329E+12,14:49.5,-1,1075.457875,1.914285714,35.41698636
1.74329E+12,14:49.5,-1,1149.450549,1.914285714,35.41698636
1.74329E+12,14:49.6,-1,1290.10989,1.914285714,35.41698636
1.74329E+12,14:49.6,-1,1450.549451,1.914285714,35.41698636
1.74329E+12,14:49.6,-1,1583.150183,1.914285714,35.41698636
1.74329E+12,14:49.6,-1,1668.131868,1.914285714,35.41698636
