RawTimestamp,LocalTime,HR_Original,HR_Buffered,PPG,GSR,Temperature
1743293607013,20:13:27.013,-1,-1,0,0.461982461982462,26.4608428180218
1743293607032,20:13:27.032,-1,-1,0,0.461982461982462,26.4608428180218
1743293607052,20:13:27.052,-1,-1,0,1.47613580449401,26.4608428180218
1743293607071,20:13:27.071,-1,-1,0,1.47613580449401,26.4608428180218
1743293607091,20:13:27.091,-1,-1,0,1.47613580449401,26.4608428180218
1743293607110,20:13:27.110,-1,-1,0,1.47613580449401,26.4608428180218
1743293607130,20:13:27.130,-1,-1,0,1.47613580449401,26.4608428180218
1743293607149,20:13:27.149,-1,-1,0,1.43201745989202,26.4608428180218
1743293607169,20:13:27.169,-1,-1,0,1.43201745989202,26.4608428180218
1743293607188,20:13:27.188,-1,-1,0,1.43201745989202,26.4608428180218
1743293607208,20:13:27.208,-1,-1,0,1.43201745989202,26.4608428180218
1743293607227,20:13:27.227,-1,-1,0,1.43201745989202,26.4608428180218
1743293607247,20:13:27.247,-1,-1,0,1.43076923076923,26.4608428180218
1743293607266,20:13:27.266,-1,-1,0,1.43076923076923,26.4608428180218
1743293607286,20:13:27.286,-1,-1,0,1.43076923076923,26.4608428180218
1743293607305,20:13:27.305,-1,-1,0,1.42930402930403,26.4608428180218
1743293607325,20:13:27.325,-1,-1,0,1.42930402930403,26.4608428180218
1743293607344,20:13:27.344,-1,-1,0,1.42930402930403,26.4608428180218
1743293607364,20:13:27.364,-1,-1,0,1.42930402930403,26.4608428180218
1743293607383,20:13:27.383,-1,-1,0,1.42930402930403,26.4608428180218
1743293607403,20:13:27.403,-1,-1,0,1.42930402930403,26.4608428180218
1743293607422,20:13:27.422,-1,-1,0,1.42930402930403,26.4608428180218
1743293607442,20:13:27.442,-1,-1,0,1.42783882783883,26.4608428180218
1743293607461,20:13:27.461,-1,-1,0,1.42930402930403,26.4608428180218
1743293607481,20:13:27.481,-1,-1,0,1.42930402930403,26.4608428180218
1743293607500,20:13:27.500,-1,-1,0,1.42930402930403,26.4608428180218
1743293607520,20:13:27.520,-1,-1,0,1.42930402930403,26.4608428180218
1743293607539,20:13:27.539,-1,-1,0,1.42930402930403,26.4608428180218
1743293607559,20:13:27.559,-1,-1,0,1.42783882783883,26.4608428180218
1743293607578,20:13:27.578,-1,-1,0,1.42783882783883,26.4608428180218
1743293607598,20:13:27.598,-1,-1,0,1.42783882783883,26.4608428180218
1743293607617,20:13:27.617,-1,-1,0,1.42783882783883,26.4608428180218
1743293607637,20:13:27.637,-1,-1,0,1.42783882783883,26.4608428180218
1743293607656,20:13:27.656,-1,-1,46.1538461538462,1.42783882783883,26.4608428180218
1743293607676,20:13:27.676,-1,-1,379.487179487179,1.42783882783883,26.4608428180218
1743293607695,20:13:27.695,-1,-1,728.937728937729,1.42783882783883,26.4608428180218
1743293607715,20:13:27.715,-1,-1,1016.11721611722,1.42783882783883,26.4608428180218
1743293607734,20:13:27.734,-1,-1,1224.17582417582,1.42783882783883,26.4608428180218
1743293607754,20:13:27.754,-1,-1,1353.11355311355,1.42783882783883,26.4608428180218
1743293607773,20:13:27.773,-1,-1,1440.29304029304,1.42783882783883,26.4608428180218
1743293607793,20:13:27.793,-1,-1,1489.37728937729,1.42783882783883,26.4608428180218
1743293607812,20:13:27.812,-1,-1,1518.68131868132,1.42637362637363,26.4608428180218
1743293607832,20:13:27.832,-1,-1,1531.86813186813,1.42637362637363,26.4608428180218
1743293607851,20:13:27.851,-1,-1,1531.13553113553,1.42637362637363,26.4608428180218
1743293607871,20:13:27.871,-1,-1,1536.99633699634,1.42637362637363,26.4608428180218
1743293607890,20:13:27.890,-1,-1,1535.53113553114,1.42637362637363,26.4608428180218
1743293607910,20:13:27.910,-1,-1,1520.87912087912,1.42637362637363,26.4608428180218
1743293607929,20:13:27.929,-1,-1,1506.95970695971,1.42637362637363,34.836828618194
1743293607949,20:13:27.949,-1,-1,1482.05128205128,1.42637362637363,34.836828618194
1743293607968,20:13:27.968,-1,-1,1454.21245421245,1.42637362637363,34.836828618194
1743293607988,20:13:27.988,-1,-1,1420.51282051282,1.42490842490842,34.836828618194
1743293608007,20:13:28.007,-1,-1,1391.94139194139,1.42490842490842,34.836828618194
1743293608027,20:13:28.027,-1,-1,1372.89377289377,1.42637362637363,34.836828618194
1743293608046,20:13:28.046,-1,-1,1366.30036630037,1.42490842490842,34.836828618194
1743293608066,20:13:28.066,-1,-1,1364.83516483516,1.42490842490842,34.836828618194
1743293608085,20:13:28.085,-1,-1,1355.31135531136,1.42490842490842,34.836828618194
1743293608105,20:13:28.105,-1,-1,1342.12454212454,1.42490842490842,34.836828618194
1743293608124,20:13:28.124,-1,-1,1316.48351648352,1.42490842490842,34.836828618194
1743293608144,20:13:28.144,-1,-1,1297.4358974359,1.42344322344322,34.836828618194
1743293608163,20:13:28.163,-1,-1,1288.64468864469,1.42490842490842,34.836828618194
1743293608183,20:13:28.183,-1,-1,1290.10989010989,1.42490842490842,34.836828618194
1743293608202,20:13:28.202,-1,-1,1284.24908424908,1.42344322344322,34.836828618194
1743293608222,20:13:28.222,-1,-1,1275.45787545788,1.42344322344322,34.836828618194
1743293608241,20:13:28.241,-1,-1,1259.34065934066,1.42344322344322,34.836828618194
1743293608261,20:13:28.261,-1,-1,1241.75824175824,1.42344322344322,34.836828618194
1743293608280,20:13:28.280,-1,-1,1230.03663003663,1.42344322344322,34.836828618194
1743293608300,20:13:28.300,-1,-1,1214.65201465201,1.42344322344322,34.836828618194
