RawTimestamp,LocalTime,HeartRate,PPG,GSR,Temperature
1743292300867,19:51:40.867,-1,0,0.533910533910534,26.4608428180218
1743292300886,19:51:40.886,-1,0,0.533910533910534,26.4608428180218
1743292300906,19:51:40.906,-1,0,4.93867658046762,26.4608428180218
1743292300925,19:51:40.925,-1,0,4.93867658046762,26.4608428180218
1743292300945,19:51:40.945,-1,0,4.93867658046762,26.4608428180218
1743292300964,19:51:40.964,-1,0,4.93867658046762,26.4608428180218
1743292300984,19:51:40.984,-1,0,4.93867658046762,26.4608428180218
1743292301003,19:51:41.003,-1,0,4.94441679110669,26.4608428180218
1743292301023,19:51:41.023,-1,0,4.95973248586489,26.4608428180218
1743292301042,19:51:41.042,-1,0,4.96994294903702,26.4608428180218
1743292301062,19:51:41.062,-1,0,4.98525864379523,26.4608428180218
1743292301081,19:51:41.081,-1,0,4.99546910696736,26.4608428180218
1743292301101,19:51:41.101,-1,0,5.01078480172557,26.4608428180218
1743292301120,19:51:41.120,-1,0,5.0209952648977,26.4608428180218
1743292301140,19:51:41.140,-1,0,5.03631095965591,26.4608428180218
1743292301159,19:51:41.159,-1,0,5.04652142282804,26.4608428180218
1743292301179,19:51:41.179,-1,0,5.05673188600018,26.4608428180218
1743292301198,19:51:41.198,-1,0,5.06694234917231,26.4608428180218
1743292301218,19:51:41.218,-1,0,5.07715281234445,26.4608428180218
1743292301237,19:51:41.237,-1,0,5.08736327551658,26.4608428180218
1743292301257,19:51:41.257,-1,0,5.09757373868872,26.4608428180218
1743292301276,19:51:41.276,-1,0,5.11288943344692,26.4608428180218
1743292301296,19:51:41.296,-1,0,5.12309989661906,26.4608428180218
1743292301315,19:51:41.315,-1,0,5.14352082296333,26.4608428180218
1743292301335,19:51:41.335,-1,0,5.1639417493076,26.4608428180218
1743292301354,19:51:41.354,-1,0,5.17925744406581,26.4608428180218
1743292301374,19:51:41.374,-1,0,5.19967837041008,26.4608428180218
1743292301393,19:51:41.393,-1,0,5.22009929675435,26.4608428180218
1743292301413,19:51:41.413,-1,0,5.23541499151255,26.4608428180218
1743292301432,19:51:41.432,-1,0,5.25073068627075,26.4608428180218
1743292301452,19:51:41.452,-1,0,5.27115161261503,26.4608428180218
1743292301471,19:51:41.471,-1,0,5.28646730737323,26.4608428180218
1743292301491,19:51:41.491,-1,0,5.29667777054536,26.4608428180218
1743292301510,19:51:41.510,-1,0,5.31199346530357,26.4608428180218
1743292301530,19:51:41.530,-1,0,5.32730916006177,26.4608428180218
1743292301549,19:51:41.549,-1,0,5.34262485481998,26.4608428180218
1743292301569,19:51:41.569,-1,0,5.35794054957818,26.4608428180218
1743292301588,19:51:41.588,-1,0,5.36815101275032,26.4608428180218
1743292301608,19:51:41.608,-1,0,5.37836147592245,26.4608428180218
1743292301627,19:51:41.627,-1,0,5.38857193909459,26.4608428180218
1743292301647,19:51:41.647,-1,0,5.39878240226672,26.4608428180218
1743292301666,19:51:41.666,-1,0,5.40388763385279,26.4608428180218
1743292301686,19:51:41.686,-1,0,5.40899286543886,26.4608428180218
1743292301705,19:51:41.705,-1,0,5.40899286543886,26.4608428180218
1743292301725,19:51:41.725,-1,0,5.41409809702493,26.4608428180218
1743292301744,19:51:41.744,-1,0,5.41920332861099,26.4608428180218
1743292301764,19:51:41.764,-1,0,5.42430856019706,26.4608428180218
1743292301783,19:51:41.783,-1,0,5.42430856019706,33.1108965873718
1743292301803,19:51:41.803,-1,0,5.4345190233692,33.1108965873718
1743292301822,19:51:41.822,-1,0,5.4345190233692,33.1108965873718
1743292301842,19:51:41.842,-1,0,5.43962425495527,33.1108965873718
1743292301861,19:51:41.861,-1,0,5.44472948654133,33.1108965873718
1743292301881,19:51:41.881,-1,0,5.44472948654133,33.1108965873718
1743292301900,19:51:41.900,-1,0,5.4498347181274,33.1108965873718
1743292301920,19:51:41.920,-1,0,5.45493994971347,33.1108965873718
1743292301939,19:51:41.939,-1,0,5.45493994971347,33.1108965873718
1743292301959,19:51:41.959,-1,0,5.45493994971347,33.1108965873718
1743292301978,19:51:41.978,-1,0,5.46004518129954,33.1108965873718
1743292301998,19:51:41.998,-1,0,5.46004518129954,33.1108965873718
1743292302017,19:51:42.017,-1,0,5.46515041288561,33.1108965873718
1743292302037,19:51:42.037,-1,0,5.46515041288561,33.1108965873718
1743292302056,19:51:42.056,-1,0,5.46515041288561,33.1108965873718
1743292302076,19:51:42.076,-1,0,5.47025564447167,33.1108965873718
1743292302095,19:51:42.095,-1,0,5.46515041288561,33.1108965873718
1743292302115,19:51:42.115,-1,0,5.47025564447167,33.1108965873718
1743292302134,19:51:42.134,-1,0,5.47025564447167,33.1108965873718
1743292302154,19:51:42.154,-1,0,5.47025564447167,33.1108965873718
1743292302173,19:51:42.173,-1,0,5.47536087605774,33.1108965873718
1743292302193,19:51:42.193,-1,0,5.48046610764381,33.1108965873718
1743292302212,19:51:42.212,-1,0,5.48557133922987,33.1108965873718
1743292302232,19:51:42.232,-1,0,5.49067657081594,33.1108965873718
1743292302251,19:51:42.251,-1,0,5.49067657081594,33.1108965873718
1743292302271,19:51:42.271,-1,0,5.49067657081594,33.1108965873718
1743292302290,19:51:42.290,-1,0,5.49067657081594,33.1108965873718
1743292302310,19:51:42.310,-1,0,5.49067657081594,33.1108965873718
1743292302329,19:51:42.329,-1,0,5.48557133922987,33.1108965873718
1743292302349,19:51:42.349,-1,0,5.48557133922987,33.1108965873718
1743292302368,19:51:42.368,-1,135.531135531136,5.48557133922987,33.1108965873718
